identifier,permno/dscd,region
1262,11264,usa
1263,11265,usa
1264,11266,usa
1265,11267,usa
1266,11268,usa
1267,11269,usa
1268,11270,usa
1269,11271,usa
1270,11272,usa
1271,11273,usa
1272,11274,usa
1273,11275,usa
1274,11276,usa
1275,11277,usa
1276,11278,usa
1277,11279,usa
1278,11280,usa
1279,11281,usa
1280,11282,usa
1281,11283,usa
1282,11284,usa
1283,11285,usa
1284,11286,usa
1285,11287,usa
1286,11288,usa
1287,11289,usa
1288,11290,usa
1289,11291,usa
1290,11292,usa
1291,11293,usa
1292,11294,usa
1293,11295,usa
1294,11296,usa
1295,11297,usa
1296,11298,usa
1297,11299,usa
1298,11300,usa
1299,11301,usa
1300,11302,usa
1301,11303,usa
1302,11304,usa
1303,11305,usa
1304,11306,usa
1305,11307,usa
1306,11308,usa
1307,11309,usa
1308,11310,usa
1309,11311,usa
1310,11312,usa
1311,11313,usa
1312,11314,usa
1313,11315,usa
1314,11316,usa
1315,11317,usa
1316,11318,usa
1317,11319,usa
1318,11320,usa
1319,11321,usa
1320,11322,usa
1321,11323,usa
1322,11324,usa
1323,11325,usa
1324,11326,usa
1325,11327,usa
1326,11328,usa
1327,11329,usa
1328,11330,usa
1329,11331,usa
1330,11332,usa
1331,11333,usa
1332,11334,usa
1333,11335,usa
1334,11336,usa
1335,11337,usa
1336,11338,usa
1337,11339,usa
1338,11340,usa
1339,11341,usa
1340,11342,usa
1341,11343,usa
1342,11344,usa
1343,11345,usa
1344,11346,usa
1345,11347,usa
1346,11348,usa
1347,11349,usa
1348,11350,usa
1349,11351,usa
1350,11352,usa
1351,11353,usa
1352,11354,usa
1353,11355,usa
1354,11356,usa
1355,11357,usa
1356,11358,usa
1357,11359,usa
1358,11360,usa
1359,11361,usa
1360,11362,usa
1361,11363,usa
1362,11364,usa
1363,11365,usa
1364,11366,usa
1365,11367,usa
1366,11368,usa
1367,11369,usa
1368,11370,usa
1369,11371,usa
1370,11372,usa
1371,11373,usa
1372,11374,usa
1373,11375,usa
1374,11376,usa
1375,11377,usa
1376,11378,usa
1377,11379,usa
1378,11380,usa
1379,11381,usa
1380,11382,usa
1381,11383,usa
1382,11384,usa
1383,11385,usa
1384,11386,usa
1385,11387,usa
1386,11388,usa
1387,11389,usa
1388,11390,usa
1389,11391,usa
1390,11392,usa
1391,11393,usa
1392,11394,usa
1393,11395,usa
1394,11396,usa
1395,11397,usa
1396,11398,usa
1397,11399,usa
1398,11400,usa
1399,11401,usa
1400,11402,usa
1401,11403,usa
1402,11404,usa
1403,11405,usa
1404,11406,usa
1405,11407,usa
1406,11408,usa
1407,11409,usa
1408,11410,usa
1409,11411,usa
1410,11412,usa
1411,11413,usa
1412,11414,usa
1413,11415,usa
1414,11416,usa
1415,11417,usa
1416,11418,usa
1417,11419,usa
1418,11420,usa
1419,11421,usa
1420,11422,usa
1421,11423,usa
1422,11424,usa
1423,11425,usa
1424,11426,usa
1425,11427,usa
1426,11428,usa
1427,11429,usa
1428,11430,usa
1429,11431,usa
1430,11432,usa
1431,11433,usa
1432,11434,usa
1433,11435,usa
1434,11436,usa
1435,11437,usa
1436,11438,usa
1437,11439,usa
1438,11440,usa
1439,11441,usa
1440,11442,usa
1441,11443,usa
1442,11444,usa
1443,11445,usa
1444,11446,usa
1445,11447,usa
1446,11448,usa
1447,11449,usa
1448,11450,usa
1449,11451,usa
1450,11452,usa
1451,11453,usa
1452,11454,usa
1453,11455,usa
1454,11456,usa
1455,11457,usa
1456,11458,usa
1457,11459,usa
1458,11460,usa
1459,11461,usa
1460,11462,usa
1461,11463,usa
1462,11464,usa
1463,11465,usa
1464,11466,usa
1465,11467,usa
1466,11468,usa
1467,11469,usa
1468,11470,usa
1469,11471,usa
1470,11472,usa
1471,11473,usa
1472,11474,usa
1473,11475,usa
1474,11476,usa
1475,11477,usa
1476,11478,usa
1477,11479,usa
1478,11480,usa
1479,11481,usa
1480,11482,usa
1481,11483,usa
1482,11484,usa
1483,11485,usa
1484,11486,usa
1485,11487,usa
1486,11488,usa
1487,11489,usa
1488,11490,usa
1489,11491,usa
1490,11492,usa
1491,11493,usa
1492,11494,usa
1493,11495,usa
1494,11496,usa
1495,11497,usa
1496,11498,usa
1497,11499,usa
1498,11500,usa
1499,11501,usa
1500,11502,usa
1501,11503,usa
1502,11504,usa
1503,11505,usa
1504,11506,usa
1505,11507,usa
1506,11508,usa
1507,11509,usa
1508,11510,usa
1509,11511,usa
1510,11512,usa
1511,11513,usa
1512,11514,usa
1513,11515,usa
1514,11516,usa
1515,11517,usa
1516,11518,usa
1517,11519,usa
1518,11520,usa
1519,11521,usa
1520,11522,usa
1521,11523,usa
1522,11524,usa
1523,11525,usa
1524,11526,usa
1525,11527,usa
1526,11528,usa
1527,11529,usa
1528,11530,usa
1529,11531,usa
1530,11532,usa
1531,11533,usa
1532,11534,usa
1533,11535,usa
1534,11536,usa
1535,11537,usa
1536,11538,usa
1537,11539,usa
1538,11540,usa
1539,11541,usa
1540,11542,usa
1541,11543,usa
1542,11544,usa
1543,11545,usa
1544,11546,usa
1545,11547,usa
1546,11548,usa
1547,11549,usa
1548,11550,usa
1549,11551,usa
1550,11552,usa
1551,11553,usa
1552,11554,usa
1553,11555,usa
1554,11556,usa
1555,11557,usa
1556,11558,usa
1557,11559,usa
1558,11560,usa
1559,11561,usa
1560,11562,usa
1561,11563,usa
1562,11564,usa
1563,11565,usa
1564,11566,usa
1565,11567,usa
1566,11568,usa
1567,11569,usa
1568,11570,usa
1569,11571,usa
1570,11572,usa
1571,11573,usa
